measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
Segment,Other/mixed,0.0,,,0.0,,,0.0,,,0.0,,,1.0,447,1.0,732,1.0,653
WC,Other/mixed,6.319808178210303,2.2135072584086766,0.0021753496846554457,0.2047130204871047,2.276723399018069,0.46418205242939753,-6.115095157723198,1.9565550124214601,0.0009016418775032426,6.115095157723198,1.9565550124214601,0.0009016418775032426,46.51905630975945,447,56.905407591161584,732,48.731187705088644,653
Analytic,Other/mixed,-2.4402510661118924,0.8634708189078204,0.0023816737700225227,-0.46436976613464004,0.8867078130662929,0.3002751240889549,1.9758812999772524,0.7641146749769406,0.004895558204368107,-1.9758812999772524,0.7641146749769406,0.004895558204368107,42.33053650910088,444,39.24074620383677,730,41.446838837929555,650
Clout,Mid/After > Pre,1.7355220239287938,0.8914673540729806,0.025856270872990122,2.463252084875972,0.9168117385370965,0.003640693913635483,0.727730060947178,0.7902789160000406,0.17862560549676149,-0.727730060947178,0.7902789160000406,0.17862560549676149,33.86755213817328,437,35.82399184009238,723,36.57538312608179,640
Authentic,Other/mixed,2.3547141424575977,0.8505144148725634,0.00284375163229062,-0.2698331384460023,0.8721192634768747,0.37852666679044394,-2.6245472809036,0.7555687031053682,0.000262793758235309,2.6245472809036,0.7555687031053682,0.000262793758235309,63.18601451528554,441,65.81391533974144,728,62.975627607330104,646
Tone,Other/mixed,-2.474350633564284,0.9486873690278066,0.004589582330995253,-1.7529003780200834,0.9779250236000806,0.036614480873335555,0.7214502555442006,0.8394769950440304,0.19511703071325004,-0.7214502555442006,0.8394769950440304,0.19511703071325004,65.03962121697099,428,62.32792495524033,714,63.02979975129335,627
WPS,Other/mixed,0.6175891042071648,0.31671252668589345,0.02566450336030813,0.007654196381385436,0.32476508184932046,0.49059972229400595,-0.6099349078257794,0.2814048166755515,0.0151641299284674,0.6099349078257794,0.2814048166755515,0.0151641299284674,12.0993950803288,446,12.759547288195972,731,12.129729225716039,653
BigWords,Other/mixed,-0.6784520722234424,0.4171503227435722,0.05201883047085532,-0.5646219698842827,0.4277484962173912,0.09350254714229078,0.11383010233915969,0.3706751790240674,0.37940548587740536,-0.11383010233915969,0.3706751790240674,0.37940548587740536,18.81778849914047,446,18.07742120154349,731,18.25216331045482,653
Dic,Other/mixed,1.0175681902425604,0.496316193095347,0.0202416378816021,0.3640931385643025,0.50958958097785,0.23750989208810225,-0.6534750516782579,0.4391508384036796,0.06845614635857088,0.6534750516782579,0.4391508384036796,0.06845614635857088,82.93485795601119,446,84.35850564433939,731,83.47853044296947,653
Linguistic,Other/mixed,1.4514741530941333,0.534914100458554,0.003360381252760964,0.6911373925993229,0.5492704345802596,0.10422518662499358,-0.7603367604948104,0.4734527415457775,0.05422993807610586,0.7603367604948104,0.4734527415457775,0.05422993807610586,65.03792536930415,446,66.8771310000367,731,65.87948190261075,653
function,Other/mixed,1.3699061666501078,0.4463492361836179,0.0010891833054442412,0.3114267787526506,0.4583930753133026,0.2484890394469908,-1.0584793878974572,0.3948263174168578,0.003704529971519918,1.0584793878974572,0.3948263174168578,0.003704529971519918,49.196153120747944,446,50.96868612626013,731,49.68102813228209,653
pronoun,Mid/After > Pre,0.6734844397304125,0.2505995942675797,0.0036321964256883325,0.38981305483433265,0.25712719011992125,0.064842122285251,-0.28367138489607985,0.22215205868992532,0.10089560078179419,0.28367138489607985,0.22215205868992532,0.10089560078179419,14.260597362847411,446,15.037718905371479,731,14.698061813935066,653
